prefix,iri
cd01p:,<https://w3id.org/phuse/cd01p#> 
cdiscpilot01:,<https://w3id.org/phuse/cdiscpilot01#> 
code:,<https://w3id.org/phuse/code#>  
cts:,<https://w3id.org/phuse/cts#> 
custom:,<https://w3id.org/phuse/custom#> 
mms:,<https://w3id.org/phuse/mms#> 
owl:,<http://www.w3.org/2002/07/owl#> 
rdf:,<http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
rdfs:,<http://www.w3.org/2000/01/rdf-schema#> 
sdtmterm:,<https://w3id.org/phuse/sdtmterm#> 
skos:,<http://www.w3.org/2004/02/skos/core#> 
sp:,<http://spinrdf.org/sp#> 
spin:,<http://spinrdf.org/spin#> 
study:,<https://w3id.org/phuse/study#> 
time:,<http://www.w3.org/2006/time#> 
xsd:,<http://www.w3.org/2001/XMLSchema#> 